,0
player_id,0
name,0
foot,0
height_in_cm,0
image_url,0
current_club_domestic_competition_id,0
current_club_name,0
market_value_in_eur,0
Nation,0
Pos,0
Min,0
Summary_Gls,0
Summary_Ast,0
Summary_PK,0
Summary_PKatt,0
Summary_Sh,0
Summary_SoT,0
Summary_CrdY,0
Summary_CrdR,0
Summary_Touches,0
Summary_Tkl,0
Summary_Int,0
Summary_Blocks,0
Summary_xG,0
Summary_xAG,0
Summary_GCA,0
Summary_Cmp,0
Summary_pass_Att,0
Summary_Cmp%,0
Summary_PrgP,0
Summary_Carries,0
Summary_PrgC,0
Summary_takes_on_Att,0
Summary_Succ,0
Passing_PrgDist,0
Passing_short_Att,0
Passing_short_Cmp%,0
Passing_medium_Att,0
Passing_medium_Cmp%,0
Passing_long_Att,0
Passing_long_Cmp%,0
Passing_Ast,0
Passing_xA,0
Passing_KP,0
Passing_1/3,0
Passing_PPA,0
Passing_CrsPA,0
Pass_Types_Live,0
Pass_Types_Dead,0
Pass_Types_FK,0
Pass_Types_TB,0
Pass_Types_Sw,0
Pass_Types_Crs,0
Pass_Types_TI,0
Pass_Types_CK,0
Pass_Types_In,0
Pass_Types_Out,0
Pass_Types_Str,0
Pass_Types_Off,0
Pass_Types_Blocks,0
Defensive_Actions_TklW,0
Defensive_Actions_Def 3rd,0
Defensive_Actions_Mid 3rd,0
Defensive_Actions_Att 3rd,0
Defensive_Actions_dribblers_Tkl,0
Defensive_Actions_Att,0
Defensive_Actions_Tkl%,0
Defensive_Actions_Lost,0
Defensive_Actions_Sh,0
Defensive_Actions_Pass,0
Defensive_Actions_Int,0
Defensive_Actions_Clr,0
Defensive_Actions_Err,0
Possession_Def Pen,0
Possession_Def 3rd,0
Possession_Mid 3rd,0
Possession_Att 3rd,0
Possession_Att Pen,0
Possession_Live,0
Possession_Succ%,0
Possession_Tkld,0
Possession_Tkld%,0
Possession_TotDist,0
Possession_PrgDist,0
Possession_1/3,0
Possession_CPA,0
Possession_Mis,0
Possession_Dis,0
Possession_Rec,0
Possession_PrgR,0
Miscellaneous_Stats_2CrdY,0
Miscellaneous_Stats_Fls,0
Miscellaneous_Stats_Fld,0
Miscellaneous_Stats_Off,0
Miscellaneous_Stats_Recov,0
Miscellaneous_Stats_Won%,0
Goalkeeping_SoTA,0
Goalkeeping_GA,0
Goalkeeping_Saves,0
Goalkeeping_Save%,0
Goalkeeping_PSxG,0
Goalkeeping_Cmp,0
Goalkeeping_Att,0
Goalkeeping_Cmp%,0
Goalkeeping_Att (GK),0
Goalkeeping_Thr,0
Goalkeeping_Launch%,0
Goalkeeping_AvgLen,0
Goalkeeping_Att.1,0
Goalkeeping_Launch%.1,0
Goalkeeping_AvgLen.1,0
Goalkeeping_Opp,0
Goalkeeping_Stp,0
Goalkeeping_Stp%,0
Goalkeeping_#OPA,0
Goalkeeping_AvgDist,0
total_games,0
Penalty_Success_%,0
Age,0
