Player,#,Team Name,Nation,Pos,season,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Stp,Stp%,#OPA,AvgDist,total_games
Aaron Ramsdale,1.0,Arsenal,eng ENG,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.833333333333332,31.333333333333332,70.64999999999999,0.3333333333333333,22.833333333333332,0.0,0.0,2.3333333333333335,0.8333333333333334,1.5,68.05,0.6,3.1666666666666665,11.5,33.56666666666667,28.166666666666668,5.0,33.35,32.6,8.0,16.633333333333333,9.0,14.84,6
Aarón Escandell,1.0,Las Palmas,es ESP,GK,2023-2024,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,43.0,70.7,0.0,21.0,0.0,0.0,2.0,1.5,0.5,16.65,1.2,4.5,13.0,34.15,36.5,5.0,33.3,32.5,1.0,5.55,4.0,18.8,2
Aitor Fernández,13.0,Osasuna,es ESP,GK,2023-2024,78.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,18.142857142857142,28.285714285714285,64.58571428571429,0.14285714285714285,16.0,0.0,0.0,2.857142857142857,1.2857142857142858,1.5714285714285714,54.166666666666664,0.8857142857142858,6.714285714285714,16.142857142857142,43.528571428571425,24.857142857142858,2.7142857142857144,57.34285714285714,42.84285714285714,1.0,1.4285714285714286,15.0,23.87142857142857,7
Alaa Bellaarouch,36.0,Strasbourg,ma MAR,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.13333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,23.466666666666665,33.6,70.64,0.0,27.666666666666668,0.0,0.0,4.2,1.7333333333333334,2.466666666666667,62.021428571428565,1.3199999999999998,3.7333333333333334,12.2,32.053333333333335,29.333333333333332,3.8,36.74,34.70666666666667,19.0,9.993333333333334,21.0,12.733333333333333,15
Alban Lafont,1.0,Nantes,fr FRA,GK,2023-2024,89.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.607142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,25.714285714285715,35.92857142857143,71.78928571428571,0.10714285714285714,27.428571428571427,0.0,0.0,4.214285714285714,1.5357142857142858,2.6785714285714284,70.56666666666666,1.5071428571428573,4.392857142857143,13.857142857142858,33.635714285714286,29.964285714285715,5.178571428571429,34.16428571428572,33.96785714285714,33.0,8.878571428571428,33.0,12.353846153846153,28
Alessandro Sorrentino,23.0,Monza,it ITA,GK,2023-2024,78.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,21.142857142857142,27.571428571428573,75.28571428571429,0.0,14.142857142857142,0.0,0.14285714285714285,4.571428571428571,2.2857142857142856,2.2857142857142856,64.58571428571429,2.042857142857143,2.5714285714285716,8.0,35.92857142857143,21.571428571428573,4.142857142857143,27.642857142857142,31.057142857142857,3.0,5.014285714285714,3.0,15.375,7
Alessio Cragno,28.0,Sassuolo,it ITA,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,33.333333333333336,68.86666666666667,0.0,18.0,0.0,0.0,4.666666666666667,2.3333333333333335,2.6666666666666665,44.43333333333334,1.7333333333333332,5.666666666666667,15.0,38.833333333333336,26.0,3.6666666666666665,51.300000000000004,38.46666666666667,3.0,9.1,8.0,18.65,3
Alex Meret,1.0,Napoli,it ITA,GK,2023-2024,89.45161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.93548387096774,0.03225806451612903,0.0,0.0,0.0,0.0,0.0032258064516129032,0.16129032258064516,0.0,24.806451612903224,29.483870967741936,84.52903225806452,0.0,18.193548387096776,0.0,0.03225806451612903,3.3548387096774195,1.3333333333333333,2.0,58.58620689655172,1.2193548387096773,1.8064516129032258,5.612903225806452,30.851612903225806,24.967741935483872,3.870967741935484,18.683333333333334,27.796774193548387,9.0,3.57,29.0,15.5,31
Alexander Brunst,30.0,Darmstadt 98,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,34.333333333333336,50.0,67.96666666666665,0.0,29.666666666666668,0.0,0.0,5.666666666666667,3.3333333333333335,2.3333333333333335,46.03333333333333,2.0666666666666664,11.0,24.0,48.96666666666667,43.0,4.333333333333333,42.46666666666666,36.63333333333333,3.0,5.333333333333333,9.0,17.733333333333334,3
Alexander Meyer,33.0,Dortmund,de GER,GK,2023-2024,86.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.75,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,37.75,45.75,83.45,0.125,33.75,0.0,0.125,3.375,1.125,2.375,71.18571428571428,0.9625,3.375,10.125,31.225,41.75,3.625,20.225,28.0375,8.0,9.3375,7.0,13.075,8
Alexander Nübel,33.0,Stuttgart,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.6,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,33.266666666666666,40.6,82.28,0.03333333333333333,25.4,0.0,0.0,3.566666666666667,1.2,2.466666666666667,63.63448275862069,1.0166666666666666,4.2,9.7,44.56333333333334,36.766666666666666,4.4,23.026666666666664,28.546666666666667,30.0,9.026666666666667,57.0,17.959999999999997,30
Alexander Schwolow,37.0,Union Berlin,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,36.0,80.6,0.0,10.0,0.0,0.0,6.0,2.0,4.0,66.7,1.2,4.0,10.0,40.0,28.0,4.0,32.1,34.1,0.0,0.0,0.0,5.0,1
Alexandre Oukidja,16.0,Metz,dz ALG,GK,2023-2024,87.8529411764706,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,32.705882352941174,0.058823529411764705,0.08823529411764706,0.029411764705882353,0.0,0.0,0.0,0.11764705882352941,0.0,15.088235294117647,29.470588235294116,52.40882352941177,0.08823529411764706,18.029411764705884,0.029411764705882353,0.08823529411764706,5.4411764705882355,1.7272727272727273,3.764705882352941,68.63030303030304,1.535294117647059,6.147058823529412,19.58823529411765,32.991176470588236,21.272727272727273,3.676470588235294,57.551515151515154,42.53939393939394,46.0,8.760606060606062,22.0,10.027272727272727,34
Alisson,1.0,Liverpool,br BRA,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.39285714285714285,0.0,35.17857142857143,40.785714285714285,86.55714285714285,0.17857142857142858,30.357142857142858,0.0,0.0,3.892857142857143,1.0714285714285714,2.857142857142857,75.78888888888889,1.0214285714285716,2.142857142857143,6.535714285714286,35.19285714285714,36.464285714285715,5.0,14.260714285714286,24.689285714285713,13.0,4.932142857142857,33.0,17.12142857142857,28
