index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id,season,Team Name
1,Ameen Al-Dakhil,28.0,be BEL,CB,21-158,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,0.0,0,0,32,38,84.2,3,24,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
2,Anass Zaroury,19.0,ma MAR,FW,22-277,29,0,0,0,0,1,0,0,1,13,0,0,0,0.0,0.0,0.0,1,0,10,12,83.3,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
3,Benson Manuel,10.0,ao ANG,FW,26-136,17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,7,1,4,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
4,Connor Roberts,14.0,wls WAL,RB,27-322,90,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,0.0,0,0,39,46,84.8,4,17,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
5,Dara O'Shea,2.0,ie IRL,CB,24-160,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,42,56,75.0,3,27,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
6,Jacob Bruun Larsen,34.0,dk DEN,RM,24-326,30,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,2,4,3,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
8,Jordan Beyer,5.0,de GER,CB,23-084,73,0,0,0,0,0,0,0,0,49,4,4,2,0.0,0.0,0.0,0,0,28,35,80.0,0,21,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
9,Josh Brownhill,8.0,eng ENG,CM,27-235,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
10,Josh Cullen,24.0,ie IRL,CM,27-126,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,37,43,86.0,2,16,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
11,Luca Koleosho,30.0,it ITA,RM,18-330,60,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.1,2,0,8,14,57.1,0,18,1,2,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
12,Lyle Foster,17.0,za RSA,LM,22-342,89,0,0,0,0,2,0,0,0,37,2,0,2,0.1,0.1,0.0,3,0,14,20,70.0,2,14,2,3,1,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
13,Nathan Redmond,15.0,eng ENG,LM,29-158,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
14,Sander Berge,16.0,no NOR,CM,25-178,89,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,0,0,23,28,82.1,1,12,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
15,Vitinho,22.0,br BRA,LB,24-019,90,0,0,0,0,0,0,0,0,31,0,1,2,0.0,0.0,0.1,2,0,20,25,80.0,0,14,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,Burnley
1,Aymeric Laporte,14.0,es ESP,CB,29-076,12,0,0,0,0,1,1,0,0,14,0,0,1,0.0,0.0,0.0,0,0,11,11,100.0,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,2023-2024,Manchester City
