Player,#,Team Name,Nation,Pos,season,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Succ,total_games
Aaron Cresswell,3.0,West Ham,eng ENG,CB,2023-2024,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,25.5,29.5,88.55,1.5,14.5,0.0,0.0,2
Aaron Cresswell,3.0,West Ham,eng ENG,"CB,LB",2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,38.0,44.0,86.4,2.0,27.0,1.0,0.0,1
Aaron Cresswell,3.0,West Ham,eng ENG,LB,2023-2024,41.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.833333333333332,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,0.05000000000000001,1.5,0.16666666666666666,23.5,29.0,67.38333333333334,2.6666666666666665,15.833333333333334,0.5,0.0,6
Aaron Cresswell,3.0,West Ham,eng ENG,LW,2023-2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
Aaron Cresswell,3.0,West Ham,eng ENG,RW,2023-2024,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,77.4,5.0,18.0,0.0,0.0,1
Aaron Hickey,2.0,Brentford,sct SCO,LB,2023-2024,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,84.0,3.0,21.0,1.0,0.0,1
Aaron Hickey,2.0,Brentford,sct SCO,"LB,WB",2023-2024,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,29.0,33.0,87.9,1.0,22.0,0.0,0.0,1
Aaron Hickey,2.0,Brentford,sct SCO,RB,2023-2024,79.75,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,48.5,2.25,0.5,0.75,0.0,0.0,0.025,1.5,0.0,35.0,39.25,89.2,3.0,30.25,0.75,1.0,4
Aaron Hickey,2.0,Brentford,sct SCO,"RB,LB",2023-2024,81.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,18.0,88.9,3.0,19.0,0.0,1.0,1
Aaron Hickey,2.0,Brentford,sct SCO,WB,2023-2024,86.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.5,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,18.5,22.0,84.6,1.0,14.5,2.5,0.0,2
Aaron Malouda,34.0,Lille,fr FRA,RW,2023-2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
Aaron Ramsey,21.0,Burnley,eng ENG,CM,2023-2024,31.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,13.25,2.25,0.0,0.25,0.05,0.05,0.0,0.25,0.0,7.75,9.25,84.725,0.25,6.0,0.0,0.0,4
Aaron Ramsey,21.0,Burnley,eng ENG,FW,2023-2024,17.666666666666668,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,9.666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,5.0,5.666666666666667,89.16666666666667,0.6666666666666666,6.0,0.6666666666666666,0.0,3
Aaron Ramsey,21.0,Burnley,eng ENG,LW,2023-2024,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,10.0,11.5,86.6,0.0,10.0,0.5,0.5,2
Aaron Ramsey,21.0,Burnley,eng ENG,RM,2023-2024,51.25,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,23.5,1.75,0.25,1.5,0.025,0.025,0.1,0.5,0.0,11.25,15.75,78.85,1.25,12.0,1.25,0.5,4
Aaron Ramsey,21.0,Burnley,eng ENG,"RM,FW",2023-2024,62.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,0.0,7.0,0.0,0.0,1
Aaron Seydel,22.0,Darmstadt 98,de GER,FW,2023-2024,42.07142857142857,0.0,0.0,0.0,0.0,0.6428571428571429,0.21428571428571427,1.0,0.0,18.714285714285715,0.21428571428571427,0.07142857142857142,0.5714285714285714,0.05714285714285715,0.05714285714285715,0.05,0.9285714285714286,0.07142857142857142,7.214285714285714,12.642857142857142,50.142857142857146,0.5714285714285714,8.214285714285714,0.5,0.21428571428571427,14
Aaron Seydel,22.0,Darmstadt 98,de GER,"FW,AM",2023-2024,17.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,5.0,8.0,62.5,1.0,5.0,0.0,0.0,1
Aaron Seydel,22.0,Darmstadt 98,de GER,LM,2023-2024,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,3.0,0.0,0.0,1
Aaron Wan-Bissaka,29.0,Manchester Utd,eng ENG,CB,2023-2024,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,90.9,1.0,5.0,0.0,0.0,1
Aaron Wan-Bissaka,29.0,Manchester Utd,eng ENG,LB,2023-2024,90.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,60.8,1.4,3.2,1.4,0.0,0.0,0.04,1.8,0.2,37.8,48.0,79.74,5.6,25.6,1.8,1.4,5
Aaron Wan-Bissaka,29.0,Manchester Utd,eng ENG,RB,2023-2024,82.75,0.0,0.0625,0.0,0.0,0.1875,0.0625,2.0,0.0,56.875,2.125,1.5625,1.375,0.0,0.0,0.08125,1.0625,0.125,39.0,45.9375,84.25,3.0,28.8125,1.3125,0.625,16
Aarón Martín,3.0,Genoa,es ESP,CM,2023-2024,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,52.0,1.0,15.0,0.0,0.0,1
Aarón Martín,3.0,Genoa,es ESP,LB,2023-2024,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,30.0,60.65,0.5,18.0,0.5,0.0,2
Aarón Martín,3.0,Genoa,es ESP,"LB,WB",2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,40.0,52.0,76.9,5.0,36.0,2.0,0.0,1
Aarón Martín,3.0,Genoa,es ESP,RB,2023-2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,83.35,0.5,2.0,0.0,0.0,2
Aarón Martín,3.0,Genoa,es ESP,WB,2023-2024,67.42857142857143,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,1.0,0.0,32.285714285714285,1.0,0.35714285714285715,0.35714285714285715,0.0071428571428571435,0.0071428571428571435,0.08571428571428573,1.7857142857142858,0.14285714285714285,20.285714285714285,28.428571428571427,71.5,1.5714285714285714,15.928571428571429,1.3571428571428572,0.42857142857142855,14
Aarón Martín,3.0,Genoa,es ESP,"WB,CB",2023-2024,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,31.0,46.0,67.4,4.0,29.0,3.0,0.0,1
Aarón Martín,3.0,Genoa,es ESP,"WB,LB",2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,1.0,4.0,0.0,0.0,0.2,3.0,0.0,20.0,31.0,64.5,1.0,24.0,3.0,0.0,1
Abakar Sylla,24.0,Strasbourg,ci CIV,CB,2023-2024,84.85714285714286,0.09523809523809523,0.0,0.0,0.0,0.5238095238095238,0.23809523809523808,4.0,0.0,70.28571428571429,2.2857142857142856,1.1904761904761905,1.9047619047619047,0.0761904761904762,0.0761904761904762,0.01904761904761905,0.6190476190476191,0.047619047619047616,52.666666666666664,60.04761904761905,87.56666666666668,3.380952380952381,50.333333333333336,0.38095238095238093,0.38095238095238093,21
Abakar Sylla,24.0,Strasbourg,ci CIV,LB,2023-2024,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,1.0,3.0,0.0,1.0,1
Abde Ezzalzouli,7.0,Betis,ma MAR,LW,2023-2024,33.26923076923077,0.038461538461538464,0.0,0.0,1.0,1.2692307692307692,0.3076923076923077,1.0,0.0,19.923076923076923,0.6538461538461539,0.19230769230769232,0.38461538461538464,0.11923076923076924,0.08846153846153847,0.015384615384615385,0.7692307692307693,0.07692307692307693,8.923076923076923,13.576923076923077,67.82692307692308,0.9615384615384616,11.538461538461538,2.1923076923076925,0.8076923076923077,26
Abde Ezzalzouli,16.0,Barcelona,ma MAR,"AM,LW",2023-2024,45.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,12.0,23.0,52.2,1.0,25.0,4.0,1.0,1
Abde Ezzalzouli,16.0,Barcelona,ma MAR,"RW,WB,LB",2023-2024,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,11.0,14.0,78.6,0.0,16.0,3.0,1.0,1
