Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id,season,Date,Team Name
16 Players,,,,,990,0,0,0,0,6,1,2,0,383,29,3,20,0.6,0.6,0.4,11,0,191,275,69.5,25,194,7,6,3,,,,,,,,,,,,,,,,,,,,,1,0,2023-2024,2023-08-18,Werder Bremen
16 Players,,,,,990,4,4,0,0,25,10,1,0,811,3,6,7,2.9,2.9,2.8,48,8,629,707,89.0,52,621,46,41,20,,,,,,,,,,,,,,,,,,,,,0,0,2023-2024,2023-08-18,Bayern Munich
15 Players,,,,,990,3,3,0,0,11,7,1,0,574,15,8,14,1.4,1.4,1.3,18,6,380,475,80.0,26,307,29,22,11,,,,,,,,,,,,,,,,,,,,,1,1,2023-2024,2023-08-19,Leverkusen
16 Players,,,,,990,2,2,0,0,14,6,2,0,691,16,8,8,1.6,1.6,1.2,22,3,509,599,85.0,41,515,21,19,9,,,,,,,,,,,,,,,,,,,,,0,1,2023-2024,2023-08-19,RB Leipzig
16 Players,,,,,990,2,2,0,0,18,8,3,0,649,17,16,24,2.2,2.2,1.2,33,4,409,505,81.0,42,337,21,21,7,,,,,,,,,,,,,,,,,,,,,1,2,2023-2024,2023-08-19,Wolfsburg
16 Players,,,,,990,0,0,0,0,14,1,0,0,655,20,13,16,1.2,1.2,1.0,22,0,420,542,77.5,41,351,17,29,13,,,,,,,,,,,,,,,,,,,,,0,2,2023-2024,2023-08-19,Heidenheim
16 Players,,,,,990,5,5,0,0,21,9,1,0,702,7,8,7,3.1,3.1,2.8,37,10,506,601,84.2,51,524,39,29,10,,,,,,,,,,,,,,,,,,,,,1,3,2023-2024,2023-08-19,Stuttgart
16 Players,,,,,990,0,0,0,0,4,1,1,0,495,24,9,13,0.8,0.8,0.6,6,0,298,402,74.1,24,290,8,6,2,,,,,,,,,,,,,,,,,,,,,0,3,2023-2024,2023-08-19,Bochum
15 Players,,,,,990,4,3,1,1,19,6,1,0,620,13,12,6,2.3,1.5,1.4,36,7,423,524,80.7,44,433,17,7,2,,,,,,,,,,,,,,,,,,,,,1,4,2023-2024,2023-08-19,Augsburg
16 Players,,,,,990,4,3,1,1,9,4,2,0,506,10,7,18,1.7,0.9,0.9,18,7,305,406,75.1,23,304,19,16,7,,,,,,,,,,,,,,,,,,,,,0,4,2023-2024,2023-08-19,Gladbach
15 Players,,,,,990,1,0,0,0,22,4,0,0,623,11,7,10,1.4,1.4,1.1,37,1,385,502,76.7,55,349,27,11,4,,,,,,,,,,,,,,,,,,,,,1,5,2023-2024,2023-08-19,Hoffenheim
16 Players,,,,,990,1,0,0,0,18,7,1,0,610,17,11,24,2.7,2.7,1.8,33,1,369,494,74.7,31,378,23,23,14,,,,,,,,,,,,,,,,,,,,,0,5,2023-2024,2023-08-19,Freiburg
16 Players,,,,,990,1,1,0,0,13,2,1,0,862,11,10,10,2.1,2.1,2.0,20,1,649,746,87.0,68,628,16,25,12,,,,,,,,,,,,,,,,,,,,,1,6,2023-2024,2023-08-19,Dortmund
15 Players,,,,,990,0,0,0,0,11,4,0,0,510,20,12,18,1.3,1.3,1.3,21,0,288,390,73.8,34,258,27,13,7,,,,,,,,,,,,,,,,,,,,,0,6,2023-2024,2023-08-19,Köln
16 Players,,,,,990,4,4,0,0,11,6,1,0,511,7,4,11,1.9,1.9,1.6,21,8,305,417,73.1,27,303,5,12,3,,,,,,,,,,,,,,,,,,,,,1,7,2023-2024,2023-08-20,Union Berlin
16 Players,,,,,990,1,0,0,2,8,1,5,0,570,13,14,8,2.3,0.7,0.5,17,1,358,475,75.4,38,359,11,3,1,,,,,,,,,,,,,,,,,,,,,0,7,2023-2024,2023-08-20,Mainz 05
16 Players,,,,,990,1,1,0,0,9,3,2,0,715,13,3,8,1.5,1.5,1.4,15,2,534,621,86.0,50,450,17,22,7,,,,,,,,,,,,,,,,,,,,,1,8,2023-2024,2023-08-20,Eint Frankfurt
16 Players,,,,,990,0,0,0,0,10,2,3,0,497,26,13,6,0.6,0.6,0.4,16,0,301,393,76.6,23,281,11,13,7,,,,,,,,,,,,,,,,,,,,,0,8,2023-2024,2023-08-20,Darmstadt 98
16 Players,,,,,990,5,3,0,0,20,11,1,0,658,11,7,15,1.8,1.8,1.2,31,7,463,552,83.9,42,337,20,16,6,,,,,,,,,,,,,,,,,,,,,1,9,2023-2024,2023-08-25,RB Leipzig
16 Players,,,,,990,1,1,0,0,9,3,1,0,571,20,7,10,1.1,1.1,0.8,15,2,369,466,79.2,26,233,11,8,3,,,,,,,,,,,,,,,,,,,,,0,9,2023-2024,2023-08-25,Stuttgart
16 Players,,,,,990,1,1,0,0,20,7,2,0,453,20,15,9,1.0,1.0,0.8,33,2,202,320,63.1,29,213,11,12,6,,,,,,,,,,,,,,,,,,,,,1,10,2023-2024,2023-08-26,Bochum
16 Players,,,,,990,1,1,0,0,14,3,1,0,685,15,4,9,1.3,1.3,1.2,27,2,439,578,76.0,39,333,14,19,4,,,,,,,,,,,,,,,,,,,,,0,10,2023-2024,2023-08-26,Dortmund
