Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2017-08-18,20:30,Bayern Munich,Leverkusen,2.6,1.6,3–1,2017-2018,-2
1.0,Sat,2017-08-19,15:30,Hertha BSC,Stuttgart,0.5,1.0,2–0,2017-2018,-1
1.0,Sat,2017-08-19,15:30,Mainz 05,Hannover 96,0.7,0.7,0–1,2017-2018,0
1.0,Sat,2017-08-19,15:30,Wolfsburg,Dortmund,0.4,1.0,0–3,2017-2018,1
1.0,Sat,2017-08-19,15:30,Hoffenheim,Werder Bremen,1.0,0.9,1–0,2017-2018,2
1.0,Sat,2017-08-19,15:30,Hamburger SV,Augsburg,0.5,0.8,1–0,2017-2018,3
1.0,Sat,2017-08-19,18:30,Schalke 04,RB Leipzig,1.8,1.0,2–0,2017-2018,4
1.0,Sun,2017-08-20,15:30,Freiburg,Eint Frankfurt,0.4,1.3,0–0,2017-2018,5
1.0,Sun,2017-08-20,18:00,Gladbach,Köln,1.5,1.1,1–0,2017-2018,6
2.0,Fri,2017-08-25,20:30,Köln,Hamburger SV,2.1,1.5,1–3,2017-2018,7
2.0,Sat,2017-08-26,15:30,Eint Frankfurt,Wolfsburg,1.0,1.0,0–1,2017-2018,8
2.0,Sat,2017-08-26,15:30,Augsburg,Gladbach,2.7,1.3,2–2,2017-2018,9
2.0,Sat,2017-08-26,15:30,Stuttgart,Mainz 05,1.9,0.9,1–0,2017-2018,10
2.0,Sat,2017-08-26,15:30,Leverkusen,Hoffenheim,2.2,0.9,2–2,2017-2018,11
2.0,Sat,2017-08-26,15:30,Werder Bremen,Bayern Munich,0.3,1.5,0–2,2017-2018,12
2.0,Sat,2017-08-26,18:30,Dortmund,Hertha BSC,1.8,0.4,2–0,2017-2018,13
2.0,Sun,2017-08-27,15:30,RB Leipzig,Freiburg,2.7,0.5,4–1,2017-2018,14
2.0,Sun,2017-08-27,18:00,Hannover 96,Schalke 04,0.9,0.5,1–0,2017-2018,15
3.0,Fri,2017-09-08,20:30,Hamburger SV,RB Leipzig,1.2,1.8,0–2,2017-2018,16
3.0,Sat,2017-09-09,15:30,Wolfsburg,Hannover 96,1.1,0.9,1–1,2017-2018,17
3.0,Sat,2017-09-09,15:30,Mainz 05,Leverkusen,1.2,0.8,3–1,2017-2018,18
3.0,Sat,2017-09-09,15:30,Augsburg,Köln,2.3,0.7,3–0,2017-2018,19
3.0,Sat,2017-09-09,15:30,Gladbach,Eint Frankfurt,0.9,0.7,0–1,2017-2018,20
3.0,Sat,2017-09-09,15:30,Freiburg,Dortmund,0.5,1.6,0–0,2017-2018,21
3.0,Sat,2017-09-09,18:30,Hoffenheim,Bayern Munich,0.6,1.9,2–0,2017-2018,22
3.0,Sun,2017-09-10,15:30,Hertha BSC,Werder Bremen,0.3,0.6,1–1,2017-2018,23
3.0,Sun,2017-09-10,18:00,Schalke 04,Stuttgart,2.0,1.3,3–1,2017-2018,24
4.0,Fri,2017-09-15,20:30,Hannover 96,Hamburger SV,2.0,0.7,2–0,2017-2018,25
4.0,Sat,2017-09-16,15:30,Stuttgart,Wolfsburg,1.0,0.5,1–0,2017-2018,26
4.0,Sat,2017-09-16,15:30,Bayern Munich,Mainz 05,3.8,0.8,4–0,2017-2018,27
4.0,Sat,2017-09-16,15:30,Eint Frankfurt,Augsburg,1.5,0.7,1–2,2017-2018,28
4.0,Sat,2017-09-16,15:30,Werder Bremen,Schalke 04,0.9,0.9,1–2,2017-2018,29
4.0,Sat,2017-09-16,18:30,RB Leipzig,Gladbach,0.7,1.5,2–2,2017-2018,30
4.0,Sun,2017-09-17,13:30,Hoffenheim,Hertha BSC,0.5,0.6,1–1,2017-2018,31
4.0,Sun,2017-09-17,15:30,Leverkusen,Freiburg,1.9,0.5,4–0,2017-2018,32
