Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2017-08-04,20:45,Monaco,Toulouse,2.0,0.3,3–2,2017-2018,-2
1.0,Sat,2017-08-05,17:15,Paris S-G,Amiens,2.6,0.3,2–0,2017-2018,-1
1.0,Sat,2017-08-05,20:00,Lyon,Strasbourg,1.8,0.5,4–0,2017-2018,0
1.0,Sat,2017-08-05,20:00,Saint-Étienne,Nice,0.9,0.5,1–0,2017-2018,1
1.0,Sat,2017-08-05,20:00,Metz,Guingamp,0.6,1.9,1–3,2017-2018,2
1.0,Sat,2017-08-05,20:00,Montpellier,Caen,1.4,0.4,1–0,2017-2018,3
1.0,Sat,2017-08-05,20:00,Troyes,Rennes,1.9,2.2,1–1,2017-2018,4
1.0,Sun,2017-08-06,15:00,Lille,Nantes,1.9,1.3,3–0,2017-2018,5
1.0,Sun,2017-08-06,17:00,Angers,Bordeaux,1.2,1.7,2–2,2017-2018,6
1.0,Sun,2017-08-06,21:00,Marseille,Dijon,2.1,0.6,3–0,2017-2018,7
2.0,Fri,2017-08-11,19:00,Nice,Troyes,2.3,0.5,1–2,2017-2018,8
2.0,Fri,2017-08-11,20:45,Rennes,Lyon,1.0,1.4,1–2,2017-2018,9
2.0,Sat,2017-08-12,17:00,Nantes,Marseille,1.3,1.6,0–1,2017-2018,10
2.0,Sat,2017-08-12,20:00,Caen,Saint-Étienne,0.9,1.1,0–1,2017-2018,11
2.0,Sat,2017-08-12,20:00,Toulouse,Montpellier,1.5,0.7,1–0,2017-2018,12
2.0,Sat,2017-08-12,20:00,Bordeaux,Metz,2.0,0.3,2–0,2017-2018,13
2.0,Sat,2017-08-12,20:00,Amiens,Angers,0.9,1.4,0–2,2017-2018,14
2.0,Sun,2017-08-13,15:00,Strasbourg,Lille,3.1,0.9,3–0,2017-2018,15
2.0,Sun,2017-08-13,17:00,Dijon,Monaco,1.1,1.6,1–4,2017-2018,16
2.0,Sun,2017-08-13,21:00,Guingamp,Paris S-G,0.1,2.0,0–3,2017-2018,17
3.0,Fri,2017-08-18,20:45,Metz,Monaco,0.8,2.2,0–1,2017-2018,18
3.0,Sat,2017-08-19,17:00,Lyon,Bordeaux,0.7,0.9,3–3,2017-2018,19
3.0,Sat,2017-08-19,20:00,Montpellier,Strasbourg,1.8,0.6,1–1,2017-2018,20
3.0,Sat,2017-08-19,20:00,Troyes,Nantes,0.8,0.9,0–1,2017-2018,21
3.0,Sat,2017-08-19,20:00,Nice,Guingamp,1.0,0.5,2–0,2017-2018,22
3.0,Sat,2017-08-19,20:00,Saint-Étienne,Amiens,2.9,1.2,3–0,2017-2018,23
3.0,Sat,2017-08-19,20:00,Rennes,Dijon,1.2,1.4,2–2,2017-2018,24
3.0,Sun,2017-08-20,15:00,Lille,Caen,0.7,1.8,0–2,2017-2018,25
3.0,Sun,2017-08-20,17:00,Marseille,Angers,1.3,0.6,1–1,2017-2018,26
3.0,Sun,2017-08-20,21:00,Paris S-G,Toulouse,2.6,0.5,6–2,2017-2018,27
4.0,Fri,2017-08-25,20:45,Paris S-G,Saint-Étienne,2.2,0.7,3–0,2017-2018,28
4.0,Sat,2017-08-26,17:15,Nantes,Lyon,0.3,1.1,0–0,2017-2018,29
4.0,Sat,2017-08-26,20:00,Toulouse,Rennes,2.2,1.3,3–2,2017-2018,30
4.0,Sat,2017-08-26,20:00,Bordeaux,Troyes,2.5,0.7,2–1,2017-2018,31
4.0,Sat,2017-08-26,20:00,Amiens,Nice,1.3,0.4,3–0,2017-2018,32
4.0,Sat,2017-08-26,20:00,Dijon,Montpellier,1.3,1.5,2–1,2017-2018,33
4.0,Sat,2017-08-26,20:00,Caen,Metz,1.3,0.8,1–0,2017-2018,34
4.0,Sun,2017-08-27,15:00,Guingamp,Strasbourg,1.8,0.8,2–0,2017-2018,35
4.0,Sun,2017-08-27,17:00,Angers,Lille,0.8,0.8,1–1,2017-2018,36
4.0,Sun,2017-08-27,21:00,Monaco,Marseille,3.8,1.5,6–1,2017-2018,37
5.0,Fri,2017-09-08,19:00,Lille,Bordeaux,0.4,1.0,0–0,2017-2018,38
5.0,Fri,2017-09-08,20:45,Metz,Paris S-G,1.2,4.8,1–5,2017-2018,39
5.0,Sat,2017-09-09,17:00,Nice,Monaco,2.7,0.9,4–0,2017-2018,40
5.0,Sat,2017-09-09,20:00,Strasbourg,Amiens,0.5,0.4,0–1,2017-2018,41
5.0,Sat,2017-09-09,20:00,Caen,Dijon,1.5,0.6,2–1,2017-2018,42
5.0,Sat,2017-09-09,20:00,Troyes,Toulouse,0.6,0.3,0–0,2017-2018,43
5.0,Sat,2017-09-09,20:00,Montpellier,Nantes,0.5,0.7,0–1,2017-2018,44
