index,Player,Summary_#,Nation,Summary_Pos,Age,Min,Summary_Gls,Summary_Ast,Summary_PK,Summary_PKatt,Summary_Sh,Summary_SoT,Summary_CrdY,Summary_CrdR,Summary_Touches,Summary_Tkl,Summary_Int,Summary_Blocks,Summary_xG,Summary_npxG,Summary_xAG,Summary_SCA,Summary_GCA,Summary_Cmp,Summary_Att,Summary_Cmp%,Summary_PrgP,Summary_Carries,Summary_PrgC,Summary_Att,Summary_Succ,Passing_#,Passing_Pos,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_TotDist,Passing_PrgDist,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Ast,Passing_xAG,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,Pass_Types_#,Pass_Types_Pos,Pass_Types_Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Pass_Types_In,Pass_Types_Out,Pass_Types_Str,Pass_Types_Cmp,Pass_Types_Off,Pass_Types_Blocks,Defensive_Actions_#,Defensive_Actions_Pos,Defensive_Actions_Tkl,Defensive_Actions_TklW,Defensive_Actions_Def 3rd,Defensive_Actions_Mid 3rd,Defensive_Actions_Att 3rd,Defensive_Actions_Tkl,Defensive_Actions_Att,Defensive_Actions_Tkl%,Defensive_Actions_Lost,Defensive_Actions_Blocks,Defensive_Actions_Sh,Defensive_Actions_Pass,Defensive_Actions_Int,Defensive_Actions_Tkl+Int,Defensive_Actions_Clr,Defensive_Actions_Err,Possession_#,Possession_Pos,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Live,Possession_Att,Possession_Succ,Possession_Succ%,Possession_Tkld,Possession_Tkld%,Possession_Carries,Possession_TotDist,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Miscellaneous_Stats_#,Miscellaneous_Stats_Pos,Miscellaneous_Stats_CrdY,Miscellaneous_Stats_CrdR,Miscellaneous_Stats_2CrdY,Miscellaneous_Stats_Fls,Miscellaneous_Stats_Fld,Miscellaneous_Stats_Off,Miscellaneous_Stats_Crs,Miscellaneous_Stats_Int,Miscellaneous_Stats_TklW,Miscellaneous_Stats_PKwon,Miscellaneous_Stats_PKcon,Miscellaneous_Stats_OG,Miscellaneous_Stats_Recov,Miscellaneous_Stats_Won,Miscellaneous_Stats_Lost,Miscellaneous_Stats_Won%,Goalkeeping_SoTA,Goalkeeping_GA,Goalkeeping_Saves,Goalkeeping_Save%,Goalkeeping_PSxG,Goalkeeping_Cmp,Goalkeeping_Att,Goalkeeping_Cmp%,Goalkeeping_Att (GK),Goalkeeping_Thr,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Att,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Opp,Goalkeeping_Stp,Goalkeeping_Stp%,Goalkeeping_#OPA,Goalkeeping_AvgDist,home,game_id
0,14 Players,,,,,990,3,3,0,0,17,7,1,0,639,15,6,8,2.0,2.0,1.8,34,6,440,550,80.0,54,373,25,21,10,,,440,550,80.0,7900,2941,205,237,86.5,162,193,83.9,55,84,65.5,3,1.8,1.2,14,52,10,2,54,,,550,485,60,21,0,8,28,23,8,3,0,1,440,5,7,,,15,11,4,8,3,5,10,50.0,5,8,2,6,6,21,15,0,,,639,26,119,349,178,26,639,21,10,47.6,11,52.4,373,1935,1128,25,7,9,6,6,431,52,,,1,0,0,12,21,5,28,6,11,0,0,0,56,28,20,58.3,,,,,,,,,,,,,,,,,,,,,1,0
1,Allan Saint-Maximin,12.0,fr FRA,RM,20-145,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.3,2,0,3,4,75.0,0,5,1,0,0,12.0,RM,3,4,75.0,49,13,2,3,66.7,1,1,100.0,0,0,,0,0.3,0.1,1,0,1,1,0,12.0,RM,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,12.0,RM,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12.0,RM,6,0,0,2,4,0,6,0,0,,0,,5,62,33,1,0,1,0,1,6,1,12.0,RM,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Danijel Subašić,1.0,hr CRO,GK,32-281,90,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,11,15,73.3,0,3,0,0,0,1.0,GK,11,15,73.3,456,384,0,0,,4,4,100.0,7,11,63.6,0,0.0,0.0,0,0,0,0,0,1.0,GK,15,7,8,3,0,0,0,0,0,0,0,0,11,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1.0,GK,17,13,17,0,0,0,17,0,0,,0,,3,25,23,0,0,0,0,0,1,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,3.0,2.0,1.0,33.3,1.3,5.0,9.0,55.6,10.0,2.0,70.0,45.5,5.0,40.0,43.2,2.0,1.0,50.0,0.0,12.2,1,0
3,Djibril Sidibé,19.0,fr FRA,RB,25-006,90,0,0,0,0,2,0,0,0,82,0,0,1,0.1,0.1,0.1,6,0,63,77,81.8,10,46,4,1,0,19.0,RB,63,77,81.8,945,426,42,45,93.3,16,18,88.9,4,9,44.4,0,0.1,0.1,2,11,2,1,10,19.0,RB,77,65,12,1,0,0,6,11,0,0,0,0,63,0,3,19.0,RB,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,19.0,RB,82,1,11,44,28,2,82,1,0,0.0,1,100.0,46,230,157,4,2,0,0,0,57,9,19.0,RB,0,0,0,2,2,0,6,0,0,0,0,0,5,2,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
4,Fabinho,2.0,br BRA,CM,23-285,90,0,0,0,0,0,0,0,0,78,5,0,0,0.0,0.0,0.1,5,3,58,70,82.9,9,50,1,3,1,2.0,CM,58,70,82.9,1149,360,21,25,84.0,28,33,84.8,9,10,90.0,0,0.1,0.0,1,8,0,0,9,2.0,CM,70,67,2,2,0,0,0,0,0,0,0,0,58,1,0,2.0,CM,5,3,1,3,1,2,2,100.0,0,0,0,0,0,5,0,0,2.0,CM,78,2,12,57,10,0,78,3,1,33.3,2,66.7,50,230,130,1,0,0,0,1,51,1,2.0,CM,0,0,0,1,3,0,0,0,3,0,0,0,4,11,3,78.6,,,,,,,,,,,,,,,,,,,,,1,0
5,Guido Carrillo,11.0,ar ARG,"FW,RM",26-071,37,0,0,0,0,1,1,0,0,19,0,0,0,0.3,0.3,0.0,2,0,7,13,53.8,0,5,0,1,1,11.0,"FW,RM",7,13,53.8,43,1,4,5,80.0,0,0,,0,2,0.0,0,0.0,0.0,0,0,0,0,0,11.0,"FW,RM",13,12,0,0,0,0,0,0,0,0,0,0,7,1,0,11.0,"FW,RM",0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,11.0,"FW,RM",19,2,2,9,8,2,19,1,1,100.0,0,0.0,5,7,1,0,0,0,0,0,13,1,11.0,"FW,RM",0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
6,Jemerson,5.0,br BRA,CB,24-345,90,1,0,0,0,1,1,0,0,56,1,1,2,0.2,0.2,0.0,0,0,42,46,91.3,2,36,1,0,0,5.0,CB,42,46,91.3,787,314,17,18,94.4,20,21,95.2,5,7,71.4,0,0.0,0.0,0,2,0,0,2,5.0,CB,46,44,2,2,0,0,0,0,0,0,0,0,42,0,0,5.0,CB,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,5,0,5.0,CB,56,4,25,30,1,1,56,0,0,,0,,36,176,123,1,0,0,1,0,39,0,5.0,CB,0,0,0,1,2,0,0,1,1,0,0,0,5,1,4,20.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Jorge,6.0,br BRA,LB,21-129,90,0,1,0,0,0,0,0,0,68,5,1,0,0.0,0.0,0.5,1,0,46,56,82.1,5,33,4,2,1,6.0,LB,46,56,82.1,738,254,29,30,96.7,14,21,66.7,3,4,75.0,1,0.5,0.0,1,2,0,0,5,6.0,LB,56,44,12,2,0,2,3,10,0,0,0,0,46,0,1,6.0,LB,5,4,2,2,1,1,2,50.0,1,0,0,0,1,6,4,0,6.0,LB,68,1,15,39,14,0,68,2,1,50.0,1,50.0,33,193,111,4,1,0,1,0,37,5,6.0,LB,0,0,0,1,2,1,3,1,4,0,0,0,4,3,2,60.0,,,,,,,,,,,,,,,,,,,,,1,0
8,João Moutinho,8.0,pt POR,CM,30-330,90,0,2,0,0,0,0,1,0,83,2,0,2,0.0,0.0,0.4,6,2,65,78,83.3,9,46,1,1,1,8.0,CM,65,78,83.3,1281,350,21,25,84.0,30,34,88.2,11,13,84.6,2,0.4,0.4,3,14,1,0,9,8.0,CM,78,69,7,5,0,1,5,0,2,2,0,0,65,2,0,8.0,CM,2,1,0,2,0,1,2,50.0,1,2,0,2,0,2,0,0,8.0,CM,83,0,4,65,15,1,83,1,1,100.0,0,0.0,46,184,128,1,1,0,1,0,61,2,8.0,CM,1,0,0,1,1,0,5,0,1,0,0,0,10,2,3,40.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Kamil Glik,25.0,pl POL,CB,29-182,90,1,0,0,0,1,1,0,0,56,0,1,1,0.2,0.2,0.0,0,0,38,50,76.0,4,29,1,0,0,25.0,CB,38,50,76.0,843,445,9,13,69.2,21,25,84.0,7,9,77.8,0,0.0,0.0,0,6,0,0,4,25.0,CB,50,48,2,2,0,3,0,0,0,0,0,0,38,0,1,25.0,CB,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,25.0,CB,56,2,23,32,1,1,56,0,0,,0,,29,104,63,1,0,0,0,0,32,0,25.0,CB,0,0,0,1,1,0,0,1,0,0,0,0,6,6,2,75.0,,,,,,,,,,,,,,,,,,,,,1,0
