index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,14 Players,,,,,990,4,4,0,0,27,10,0,0,801,23,13,6,2.6,2.6,2.5,52,8,565,681,83.0,62,519,31,19,16,,,,,,,,,,,,,,,,,,,,,1,0
1,Aaron Ramsey,8.0,wls WAL,"DM,CM",26-228,24,1,0,0,0,4,1,0,0,19,0,0,0,0.4,0.4,0.0,1,0,9,12,75.0,1,13,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
2,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90,0,0,0,0,6,2,0,0,84,3,3,1,0.2,0.2,0.1,4,0,48,67,71.6,6,54,9,9,8,,,,,,,,,,,,,,,,,,,,,1,0
3,Alexandre Lacazette,9.0,fr FRA,"FW,LW,LM",26-075,90,1,0,0,0,3,2,0,0,34,2,0,1,0.3,0.3,0.4,6,2,20,24,83.3,3,19,1,1,1,,,,,,,,,,,,,,,,,,,,,1,0
4,Danny Welbeck,23.0,eng ENG,"AM,FW",26-258,74,1,0,0,0,3,1,0,0,31,1,1,0,1.0,1.0,0.4,4,0,16,21,76.2,2,18,3,2,2,,,,,,,,,,,,,,,,,,,,,1,0
5,Granit Xhaka,29.0,ch SUI,"CM,DM",24-318,90,0,2,0,0,4,1,0,0,114,1,1,1,0.1,0.1,0.2,12,2,86,106,81.1,20,80,4,1,1,,,,,,,,,,,,,,,,,,,,,1,0
6,Héctor Bellerín,24.0,es ESP,"WB,LB",22-145,90,0,0,0,0,1,1,0,0,79,3,0,0,0.3,0.3,0.0,6,1,61,70,87.1,3,51,1,3,1,,,,,,,,,,,,,,,,,,,,,1,0
7,Mesut Özil,11.0,de GER,"AM,RM",28-300,90,0,0,0,0,3,0,0,0,95,1,0,1,0.1,0.1,0.6,10,0,70,86,81.4,6,69,3,2,2,,,,,,,,,,,,,,,,,,,,,1,0
8,Mohamed Elneny,35.0,eg EGY,CM,25-031,66,0,1,0,0,1,0,0,0,82,4,0,2,0.0,0.0,0.1,3,1,65,72,90.3,4,57,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
9,Nacho Monreal,18.0,es ESP,CB,31-166,90,0,0,0,0,0,0,0,0,70,2,5,0,0.0,0.0,0.0,0,0,54,57,94.7,3,43,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
10,Olivier Giroud,12.0,fr FRA,FW,30-315,24,1,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.2,1,0,7,8,87.5,0,5,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
11,Petr Čech,33.0,cz CZE,GK,35-083,90,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,1,0,19,23,82.6,1,9,0,0,0,3.0,3.0,0.0,0.0,2.1,1.0,4.0,25.0,17.0,3.0,17.6,30.8,6.0,16.7,28.3,13.0,1.0,7.7,3.0,17.0,1,0
12,Rob Holding,16.0,eng ENG,CB,21-325,66,0,0,0,0,0,0,0,0,75,1,1,0,0.0,0.0,0.0,0,0,50,60,83.3,4,50,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
13,Sead Kolašinac,31.0,ba BIH,CB,24-052,90,0,1,0,0,1,1,0,0,81,4,1,0,0.0,0.0,0.6,3,2,59,73,80.8,9,49,7,1,1,,,,,,,,,,,,,,,,,,,,,1,0
0,14 Players,,,,,990,3,3,0,0,6,3,1,0,427,17,11,18,1.5,1.5,1.4,6,5,192,315,61.0,16,150,8,16,5,,,,,,,,,,,,,,,,,,,,,0,0
1,Christian Fuchs,28.0,at AUT,LB,31-126,90,0,0,0,0,0,0,0,0,57,1,1,3,0.0,0.0,0.1,1,0,26,49,53.1,2,22,2,1,0,,,,,,,,,,,,,,,,,,,,,0,0
2,Daniel Amartey,18.0,gh GHA,CM,22-233,19,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0
3,Danny Simpson,2.0,eng ENG,RB,30-219,90,0,0,0,0,0,0,0,0,54,0,1,2,0.0,0.0,0.0,0,0,29,44,65.9,1,13,1,2,1,,,,,,,,,,,,,,,,,,,,,0,0
4,Demarai Gray,7.0,jm JAM,LM,21-044,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0
5,Harry Maguire,15.0,eng ENG,CB,24-159,90,0,1,0,0,0,0,0,0,36,2,2,3,0.0,0.0,0.4,1,1,18,26,69.2,1,15,2,2,1,,,,,,,,,,,,,,,,,,,,,0,0
6,Jamie Vardy,9.0,eng ENG,FW,30-212,90,2,0,0,0,2,2,0,0,20,1,0,0,0.9,0.9,0.0,0,0,9,12,75.0,1,11,1,1,0,,,,,,,,,,,,,,,,,,,,,0,0
7,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,17,37,45.9,0,9,0,0,0,10.0,4.0,6.0,60.0,3.3,17.0,36.0,47.2,25.0,0.0,100.0,56.8,11.0,100.0,67.8,13.0,0.0,0.0,2.0,44.5,0,0
8,Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0
9,Marc Albrighton,11.0,eng ENG,LM,27-266,87,0,1,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.7,2,2,16,25,64.0,3,17,1,1,0,,,,,,,,,,,,,,,,,,,,,0,0
10,Matty James,22.0,eng ENG,CM,26-020,81,0,0,0,0,0,0,0,0,25,4,2,1,0.0,0.0,0.0,0,0,11,16,68.8,2,7,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0
11,Riyad Mahrez,26.0,dz ALG,RM,26-171,90,0,1,0,0,2,0,0,0,53,2,2,3,0.1,0.1,0.2,2,2,24,34,70.6,0,28,1,6,2,,,,,,,,,,,,,,,,,,,,,0,0
12,Shinji Okazaki,20.0,jp JPN,FW,31-117,71,1,0,0,0,2,1,0,0,28,1,0,0,0.5,0.5,0.0,0,0,10,22,45.5,1,13,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0
13,Wes Morgan,5.0,jm JAM,CB,33-202,90,0,0,0,0,0,0,1,0,26,0,1,2,0.0,0.0,0.0,0,0,12,16,75.0,3,3,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0
0,14 Players,,,,,990,3,1,0,0,9,4,0,0,566,19,11,15,2.2,2.2,0.6,14,5,307,448,68.5,24,281,13,17,11,,,,,,,,,,,,,,,,,,,,,1,1
1,Abdoulaye Doucouré,16.0,ml MLI,CM,24-223,90,1,0,0,0,1,1,0,0,84,1,1,2,0.8,0.8,0.1,4,2,60,73,82.2,5,45,1,3,3,,,,,,,,,,,,,,,,,,,,,1,1
2,Andre Gray,18.0,jm JAM,FW,26-047,28,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,5,5,100.0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1
3,Daryl Janmaat,2.0,nl NED,RB,28-021,17,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,9,12,75.0,0,4,1,0,0,,,,,,,,,,,,,,,,,,,,,1,1
4,Heurelho Gomes,1.0,br BRA,GK,36-178,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,25,45,55.6,0,25,0,0,0,5.0,3.0,2.0,60.0,3.5,11.0,30.0,36.7,33.0,8.0,60.6,44.3,12.0,83.3,61.3,11.0,0.0,0.0,3.0,17.5,1,1
5,José Holebas,25.0,gr GRE,LB,33-046,90,0,1,0,0,1,0,0,0,64,5,3,2,0.0,0.0,0.4,1,1,24,40,60.0,2,21,2,4,2,,,,,,,,,,,,,,,,,,,,,1,1
6,Kiko Femenía,21.0,es ESP,RB,26-191,73,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,1,0,36,47,76.6,3,24,3,2,1,,,,,,,,,,,,,,,,,,,,,1,1
7,Miguel Britos,3.0,uy URU,CB,32-026,90,1,0,0,0,2,2,0,0,51,1,0,3,0.7,0.7,0.0,1,0,29,40,72.5,2,24,1,0,0,,,,,,,,,,,,,,,,,,,,,1,1
8,Nathaniel Chalobah,14.0,eng ENG,LM,22-243,90,0,0,0,0,1,0,0,0,30,2,1,0,0.0,0.0,0.0,0,0,19,26,73.1,4,13,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1
9,Nordin Amrabat,7.0,ma MAR,RW,30-134,90,0,0,0,0,0,0,0,0,46,3,0,0,0.0,0.0,0.1,1,0,18,37,48.6,0,26,0,2,1,,,,,,,,,,,,,,,,,,,,,1,1
10,Richarlison,11.0,br BRA,LW,20-094,42,0,0,0,0,2,0,0,0,13,1,1,0,0.2,0.2,0.0,1,1,4,7,57.1,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1
11,Roberto Pereyra,37.0,ar ARG,LW,26-217,48,0,0,0,0,1,0,0,0,8,0,0,1,0.2,0.2,0.0,2,1,3,3,100.0,1,7,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1
12,Stefano Okaka,33.0,it ITA,FW,28-003,62,1,0,0,0,1,1,0,0,23,0,0,1,0.4,0.4,0.2,1,0,12,16,75.0,2,15,2,3,3,,,,,,,,,,,,,,,,,,,,,1,1
13,Tom Cleverley,8.0,eng ENG,RM,28-000,90,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,32,46,69.6,4,30,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1
0,14 Players,,,,,990,3,2,1,1,13,4,3,0,639,20,11,12,2.7,1.9,1.8,25,5,386,527,73.2,40,302,22,11,6,,,,,,,,,,,,,,,,,,,,,0,1
1,Alberto Moreno,18.0,es ESP,LB,25-038,90,0,0,0,0,1,1,0,0,73,5,1,2,0.1,0.1,0.0,4,1,43,58,74.1,0,24,3,2,2,,,,,,,,,,,,,,,,,,,,,0,1
2,Dejan Lovren,6.0,hr CRO,CB,28-038,90,0,0,0,0,1,1,0,0,76,1,2,1,0.1,0.1,0.0,1,0,56,67,83.6,7,34,1,0,0,,,,,,,,,,,,,,,,,,,,,0,1
3,Divock Origi,27.0,be BEL,FW,22-116,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1
4,Emre Can,23.0,de GER,"RM,LM",23-212,90,0,1,0,0,0,0,0,0,52,3,1,1,0.0,0.0,0.2,6,1,33,41,80.5,4,26,3,1,0,,,,,,,,,,,,,,,,,,,,,0,1
5,Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-274,90,0,0,0,0,2,0,0,0,52,1,1,0,0.1,0.1,0.1,1,0,31,43,72.1,6,27,1,0,0,,,,,,,,,,,,,,,,,,,,,0,1
6,James Milner,7.0,eng ENG,RM,31-220,5,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,1,0,1,4,25.0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,0,1
7,Joe Gomez,12.0,eng ENG,RB,20-081,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1
8,Jordan Henderson,14.0,eng ENG,CM,27-056,90,0,0,0,0,0,0,0,0,73,2,1,1,0.0,0.0,0.1,2,0,46,68,67.6,9,33,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1
9,Joël Matip,32.0,cm CMR,CB,26-004,90,0,0,0,0,1,0,0,0,70,1,2,0,0.2,0.2,0.0,0,0,47,57,82.5,3,32,2,0,0,,,,,,,,,,,,,,,,,,,,,0,1
10,Mohamed Salah,11.0,eg EGY,RW,25-058,85,1,0,0,0,5,1,0,0,29,0,0,0,1.1,1.1,0.0,2,1,14,20,70.0,2,21,3,1,1,,,,,,,,,,,,,,,,,,,,,0,1
11,Roberto Firmino,9.0,br BRA,FW,25-314,80,1,1,1,1,1,0,0,0,40,0,0,2,0.8,0.0,0.9,3,2,21,32,65.6,4,22,2,3,3,,,,,,,,,,,,,,,,,,,,,0,1
12,Sadio Mané,19.0,sn SEN,"LW,RW",25-124,90,1,0,0,0,2,1,1,0,44,1,0,3,0.3,0.3,0.1,2,0,20,31,64.5,3,29,5,3,0,,,,,,,,,,,,,,,,,,,,,0,1
13,Simon Mignolet,22.0,be BEL,GK,29-159,90,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,0,0,28,42,66.7,0,22,0,0,0,4.0,3.0,1.0,25.0,2.7,2.0,15.0,13.3,35.0,8.0,31.4,31.2,7.0,57.1,42.4,13.0,3.0,23.1,0.0,12.2,0,1
0,13 Players,,,,,990,0,0,0,0,14,4,1,0,561,24,19,9,1.1,1.1,0.5,21,0,333,444,75.0,33,238,14,23,18,,,,,,,,,,,,,,,,,,,,,1,2
