index,Player,Summary_#,Nation,Summary_Pos,Age,Min,Summary_Gls,Summary_Ast,Summary_PK,Summary_PKatt,Summary_Sh,Summary_SoT,Summary_CrdY,Summary_CrdR,Summary_Touches,Summary_Tkl,Summary_Int,Summary_Blocks,Summary_xG,Summary_npxG,Summary_xAG,Summary_SCA,Summary_GCA,Summary_Cmp,Summary_pass_Att,Summary_Cmp%,Summary_PrgP,Summary_Carries,Summary_PrgC,Summary_takes_on_Att,Summary_Succ,Passing_#,Passing_Pos,Passing_total_Cmp,Passing_total_Att,Passing_total_Cmp%,Passing_TotDist,Passing_PrgDist,Passing_short_Cmp,Passing_short_Att,Passing_short_Cmp%,Passing_medium_Cmp,Passing_medium_Att,Passing_medium_Cmp%,Passing_long_Cmp,Passing_long_Att,Passing_long_Cmp%,Passing_Ast,Passing_xAG,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,Pass_Types_#,Pass_Types_Pos,Pass_Types_Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Pass_Types_In,Pass_Types_Out,Pass_Types_Str,Pass_Types_Cmp,Pass_Types_Off,Pass_Types_Blocks,Defensive_Actions_#,Defensive_Actions_Pos,Defensive_Actions_total_Tkl,Defensive_Actions_TklW,Defensive_Actions_Def 3rd,Defensive_Actions_Mid 3rd,Defensive_Actions_Att 3rd,Defensive_Actions_dribblers_Tkl,Defensive_Actions_Att,Defensive_Actions_Tkl%,Defensive_Actions_Lost,Defensive_Actions_Blocks,Defensive_Actions_Sh,Defensive_Actions_Pass,Defensive_Actions_Int,Defensive_Actions_Tkl+Int,Defensive_Actions_Clr,Defensive_Actions_Err,Possession_#,Possession_Pos,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Live,Possession_Att,Possession_Succ,Possession_Succ%,Possession_Tkld,Possession_Tkld%,Possession_Carries,Possession_TotDist,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Miscellaneous_Stats_#,Miscellaneous_Stats_Pos,Miscellaneous_Stats_CrdY,Miscellaneous_Stats_CrdR,Miscellaneous_Stats_2CrdY,Miscellaneous_Stats_Fls,Miscellaneous_Stats_Fld,Miscellaneous_Stats_Off,Miscellaneous_Stats_Crs,Miscellaneous_Stats_Int,Miscellaneous_Stats_TklW,Miscellaneous_Stats_PKwon,Miscellaneous_Stats_PKcon,Miscellaneous_Stats_OG,Miscellaneous_Stats_Recov,Miscellaneous_Stats_Won,Miscellaneous_Stats_Lost,Miscellaneous_Stats_Won%,Goalkeeping_SoTA,Goalkeeping_GA,Goalkeeping_Saves,Goalkeeping_Save%,Goalkeeping_PSxG,Goalkeeping_Cmp,Goalkeeping_Att,Goalkeeping_Cmp%,Goalkeeping_Att (GK),Goalkeeping_Thr,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Att,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Opp,Goalkeeping_Stp,Goalkeeping_Stp%,Goalkeeping_#OPA,Goalkeeping_AvgDist,home,game_id
0,16 Players,,,,,990,0,0,0,0,6,1,2,0,383,29,3,20,0.6,0.6,0.4,11,0,191,275,69.5,25,194,7,6,3,,,191,275,69.5,3971,1925,74,91,81.3,82,108,75.9,33,61,54.1,0,0.4,0.4,3,15,3,0,25,,,275,235,37,9,0,5,12,10,0,0,0,0,191,3,6,,,29,17,14,13,2,18,38,47.4,20,20,8,12,3,32,16,0,,,383,74,164,156,65,6,383,6,3,50.0,2,33.3,194,1020,604,7,5,1,10,1,190,25,,,2,0,0,17,11,3,12,3,17,0,0,0,44,15,17,46.9,,,,,,,,,,,,,,,,,,,,,1,0
1,Amos Pieper,5.0,de GER,CB,25-213,90,0,0,0,0,0,0,0,0,34,1,0,5,0.0,0.0,0.0,0,0,13,20,65.0,4,12,0,0,0,5.0,CB,13,20,65.0,325,168,4,5,80.0,4,5,80.0,5,10,50.0,0,0.0,0.0,0,3,0,0,4,5.0,CB,20,20,0,0,0,0,0,0,0,0,0,0,13,0,0,5.0,CB,1,1,0,1,0,1,3,33.3,2,5,4,1,0,1,4,0,5.0,CB,34,8,14,17,3,0,34,0,0,,0,,12,41,10,0,0,0,1,0,13,0,5.0,CB,0,0,0,2,0,0,0,0,1,0,0,0,3,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Anthony Jung,3.0,de GER,LW,31-288,78,0,0,0,0,0,0,0,0,29,2,0,2,0.0,0.0,0.0,0,0,13,21,61.9,0,16,1,0,0,3.0,LW,13,21,61.9,246,105,4,6,66.7,8,12,66.7,1,2,50.0,0,0.0,0.0,0,0,0,0,0,3.0,LW,21,19,2,0,0,0,1,2,0,0,0,0,13,0,1,3.0,LW,2,0,2,0,0,1,1,100.0,0,2,0,2,0,2,2,0,3.0,LW,29,4,14,14,1,0,29,0,0,,0,,16,60,35,1,0,0,1,0,17,2,3.0,LW,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
3,Christian Groß,36.0,de GER,DM,34-191,23,0,0,0,0,0,0,0,0,8,2,0,1,0.0,0.0,0.0,0,0,5,5,100.0,1,2,1,0,0,36.0,DM,5,5,100.0,74,22,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,36.0,DM,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,36.0,DM,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,36.0,DM,8,0,1,6,1,0,8,0,0,,0,,2,24,9,1,0,0,0,0,3,0,36.0,DM,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
4,Dawid Kownacki,9.0,pl POL,CM,26-157,12,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,0,9.0,CM,2,2,100.0,23,3,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,9.0,CM,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,9.0,CM,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,9.0,CM,3,1,1,1,1,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,9.0,CM,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1,0
5,Jens Stage,6.0,dk DEN,CM,26-283,78,0,0,0,0,1,0,0,0,24,1,1,0,0.1,0.1,0.0,1,0,12,17,70.6,0,11,0,0,0,6.0,CM,12,17,70.6,128,30,9,11,81.8,2,3,66.7,0,1,0.0,0,0.0,0.0,0,2,0,0,0,6.0,CM,17,17,0,0,0,0,1,0,0,0,0,0,12,0,0,6.0,CM,1,0,0,1,0,0,3,0.0,3,0,0,0,1,2,1,0,6.0,CM,24,1,5,12,8,0,24,0,0,,0,,11,33,9,0,0,0,1,0,10,2,6.0,CM,0,0,0,0,0,1,1,1,0,0,0,0,7,3,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
6,Jiří Pavlenka,1.0,cz CZE,GK,31-126,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,19,0,0,0,1.0,GK,29,36,80.6,801,593,10,10,100.0,8,8,100.0,11,18,61.1,0,0.0,0.0,0,0,0,0,0,1.0,GK,36,20,16,3,0,0,0,0,0,0,0,0,29,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.0,GK,39,37,39,0,0,0,39,0,0,,0,,19,141,107,0,0,0,0,0,12,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.0,4.0,6.0,60.0,2.9,6.0,11.0,54.5,23.0,6.0,34.8,33.7,13.0,23.1,29.6,13.0,1.0,7.7,0.0,4.0,1,0
7,Leon Opitz,35.0,de GER,LW,18-129,12,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,5,1,1,0,35.0,LW,1,4,25.0,18,19,0,0,,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,35.0,LW,4,4,0,0,0,0,2,0,0,0,0,0,1,0,0,35.0,LW,2,2,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0,35.0,LW,7,0,3,1,3,1,7,1,0,0.0,1,100.0,5,39,21,1,1,1,1,0,4,2,35.0,LW,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
8,Leonardo Bittencourt,10.0,de GER,CM,29-242,67,0,0,0,0,1,0,0,0,23,4,0,1,0.2,0.2,0.0,1,0,13,14,92.9,4,15,0,0,0,10.0,CM,13,14,92.9,220,103,7,8,87.5,3,3,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,4,10.0,CM,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,10.0,CM,4,2,2,2,0,1,5,20.0,4,1,0,1,0,4,0,0,10.0,CM,23,0,8,12,3,1,23,0,0,,0,,15,72,24,0,1,0,1,0,15,2,10.0,CM,0,0,0,1,0,0,0,0,2,0,0,0,2,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Marco Friedl,32.0,at AUT,CB,25-155,90,0,0,0,0,0,0,0,0,50,5,1,3,0.0,0.0,0.0,0,0,25,38,65.8,2,32,0,0,0,32.0,CB,25,38,65.8,607,332,4,4,100.0,16,18,88.9,5,11,45.5,0,0.0,0.0,0,1,0,0,2,32.0,CB,38,36,0,0,0,1,0,0,0,0,0,0,25,2,2,32.0,CB,5,2,3,2,0,5,7,71.4,2,3,1,2,1,6,3,0,32.0,CB,50,9,34,16,0,0,50,0,0,,0,,32,155,119,0,0,0,0,0,25,0,32.0,CB,0,0,0,1,1,0,0,1,2,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
