Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Sat,2023-08-19,18:30,Frosinone,Napoli,0.9,1.5,1–3,2023-2024,-2
1.0,Sat,2023-08-19,18:30,Empoli,Hellas Verona,0.7,0.5,0–1,2023-2024,-1
1.0,Sat,2023-08-19,20:45,Inter,Monza,2.7,0.8,2–0,2023-2024,0
1.0,Sat,2023-08-19,20:45,Genoa,Fiorentina,0.2,1.0,1–4,2023-2024,1
1.0,Sun,2023-08-20,18:30,Sassuolo,Atalanta,0.4,1.3,0–2,2023-2024,2
1.0,Sun,2023-08-20,18:30,Roma,Salernitana,1.9,0.1,2–2,2023-2024,3
1.0,Sun,2023-08-20,20:45,Lecce,Lazio,1.4,1.6,2–1,2023-2024,4
1.0,Sun,2023-08-20,20:45,Udinese,Juventus,1.0,1.8,0–3,2023-2024,5
1.0,Mon,2023-08-21,18:30,Torino,Cagliari,1.0,0.4,0–0,2023-2024,6
1.0,Mon,2023-08-21,20:45,Bologna,Milan,1.0,0.9,0–2,2023-2024,7
2.0,Sat,2023-08-26,18:30,Frosinone,Atalanta,0.7,1.6,2–1,2023-2024,8
2.0,Sat,2023-08-26,18:30,Monza,Empoli,2.0,1.0,2–0,2023-2024,9
2.0,Sat,2023-08-26,20:45,Hellas Verona,Roma,0.7,1.5,2–1,2023-2024,10
2.0,Sat,2023-08-26,20:45,Milan,Torino,3.0,0.5,4–1,2023-2024,11
2.0,Sun,2023-08-27,18:30,Juventus,Bologna,0.8,0.5,1–1,2023-2024,12
2.0,Sun,2023-08-27,18:30,Fiorentina,Lecce,1.3,0.3,2–2,2023-2024,13
2.0,Sun,2023-08-27,20:45,Napoli,Sassuolo,3.5,0.2,2–0,2023-2024,14
2.0,Sun,2023-08-27,20:45,Lazio,Genoa,1.4,0.6,0–1,2023-2024,15
2.0,Mon,2023-08-28,18:30,Salernitana,Udinese,0.5,0.8,1–1,2023-2024,16
2.0,Mon,2023-08-28,20:45,Cagliari,Inter,0.6,0.9,0–2,2023-2024,17
3.0,Fri,2023-09-01,18:30,Sassuolo,Hellas Verona,1.7,0.6,3–1,2023-2024,18
3.0,Fri,2023-09-01,20:45,Roma,Milan,0.7,1.5,1–2,2023-2024,19
3.0,Sat,2023-09-02,18:30,Bologna,Cagliari,2.3,0.5,2–1,2023-2024,20
