index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,16 Players,,,,,990,0,0,0,0,6,1,2,0,383,29,3,20,0.6,0.6,0.4,11,0,191,275,69.5,25,194,7,6,3,,,,,,,,,,,,,,,,,,,,,1,0
1,Amos Pieper,5.0,de GER,CB,25-213,90,0,0,0,0,0,0,0,0,34,1,0,5,0.0,0.0,0.0,0,0,13,20,65.0,4,12,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
2,Anthony Jung,3.0,de GER,LW,31-288,78,0,0,0,0,0,0,0,0,29,2,0,2,0.0,0.0,0.0,0,0,13,21,61.9,0,16,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
3,Christian Groß,36.0,de GER,DM,34-191,23,0,0,0,0,0,0,0,0,8,2,0,1,0.0,0.0,0.0,0,0,5,5,100.0,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
4,Dawid Kownacki,9.0,pl POL,CM,26-157,12,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
5,Jens Stage,6.0,dk DEN,CM,26-283,78,0,0,0,0,1,0,0,0,24,1,1,0,0.1,0.1,0.0,1,0,12,17,70.6,0,11,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
6,Jiří Pavlenka,1.0,cz CZE,GK,31-126,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,19,0,0,0,10.0,4.0,6.0,60.0,2.9,6.0,11.0,54.5,23.0,6.0,34.8,33.7,13.0,23.1,29.6,13.0,1.0,7.7,0.0,4.0,1,0
7,Leon Opitz,35.0,de GER,LW,18-129,12,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,5,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0
8,Leonardo Bittencourt,10.0,de GER,CM,29-242,67,0,0,0,0,1,0,0,0,23,4,0,1,0.2,0.2,0.0,1,0,13,14,92.9,4,15,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
9,Marco Friedl,32.0,at AUT,CB,25-155,90,0,0,0,0,0,0,0,0,50,5,1,3,0.0,0.0,0.0,0,0,25,38,65.8,2,32,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
10,Marvin Ducksch,7.0,de GER,FW,29-164,90,0,0,0,0,1,1,1,0,30,1,0,0,0.1,0.1,0.1,2,0,12,26,46.2,4,13,0,1,1,,,,,,,,,,,,,,,,,,,,,1,0
