index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,16 Players,,,,,990,0,0,0,0,19,5,1,0,650,17,4,9,1.4,1.4,1.3,35,0,448,532,84.2,39,391,18,31,12,,,,,,,,,,,,,,,,,,,,,1,0
1,Adri Embarba,10.0,es ESP,"LW,LM",31-096,90,0,0,0,0,3,0,0,0,58,2,0,1,0.1,0.1,0.5,3,0,30,40,75.0,1,31,4,6,2,,,,,,,,,,,,,,,,,,,,,1,0
2,Alejandro Pozo Pozo,17.0,es ESP,RB,24-170,65,0,0,0,0,0,0,0,0,51,0,0,1,0.0,0.0,0.0,1,0,35,44,79.5,3,23,1,2,0,,,,,,,,,,,,,,,,,,,,,1,0
3,Diego Mariño,1.0,es ESP,GK,33-094,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,23,27,85.2,0,22,0,0,0,4.0,2.0,2.0,100.0,2.1,1.0,5.0,20.0,25.0,6.0,20.0,24.1,2.0,0.0,16.5,6.0,0.0,0.0,2.0,22.7,1,0
4,Dion Lopy,6.0,sn SEN,CM,21-190,13,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,12,13,92.3,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
5,Gonzalo Melero,11.0,es ESP,CM,29-221,14,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,0,0,9,13,69.2,0,10,1,1,1,,,,,,,,,,,,,,,,,,,,,1,0
6,Iddrisu Baba,4.0,gh GHA,"DM,CM",27-201,76,0,0,0,0,2,0,0,0,42,1,1,1,0.4,0.4,0.0,3,0,33,37,89.2,5,25,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0
7,Largie Ramazani,7.0,be BEL,"AM,RM",22-165,82,0,0,0,0,2,2,1,0,33,1,1,0,0.0,0.0,0.1,6,0,15,19,78.9,2,26,2,6,2,,,,,,,,,,,,,,,,,,,,,1,0
8,Lucas Robertone,5.0,ar ARG,"DM,CM",26-146,77,0,0,0,0,1,0,0,0,67,2,1,0,0.0,0.0,0.0,4,0,48,61,78.7,5,39,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0
9,Luis Javier Suárez,9.0,co COL,FW,25-252,90,0,0,0,0,4,2,0,0,27,1,0,2,0.6,0.6,0.0,1,0,9,12,75.0,1,15,2,0,0,,,,,,,,,,,,,,,,,,,,,1,0
10,Lázaro,14.0,br BRA,RW,21-152,45,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,0,9,0,3,0,,,,,,,,,,,,,,,,,,,,,1,0
11,Marc Pubill,18.0,es ESP,RB,20-052,25,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.1,2,0,20,25,80.0,0,15,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
12,Marko Milovanović,29.0,rs SRB,RM,20-007,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
13,Sergio Akieme,15.0,es ESP,LB,25-238,90,0,0,0,0,1,1,0,0,63,3,0,1,0.0,0.0,0.4,4,0,39,50,78.0,4,35,6,8,6,,,,,,,,,,,,,,,,,,,,,1,0
14,Sergio Arribas,19.0,es ESP,"FW,RW",21-315,45,0,0,0,0,3,0,0,0,34,2,1,0,0.1,0.1,0.1,6,0,21,25,84.0,6,15,1,2,1,,,,,,,,,,,,,,,,,,,,,1,0
15,Srđan Babić,22.0,rs SRB,CB,27-111,90,0,0,0,0,1,0,0,0,69,2,0,1,0.0,0.0,0.0,3,0,58,62,93.5,6,44,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
0,16 Players,,,,,990,2,0,2,2,8,2,3,0,458,19,10,6,2.1,0.5,0.3,17,3,268,354,75.7,18,289,10,13,4,,,,,,,,,,,,,,,,,,,,,0,0
1,Alfonso Espino,12.0,uy URU,LB,31-218,90,0,0,0,0,1,0,0,0,50,5,2,0,0.0,0.0,0.0,2,0,29,38,76.3,1,31,1,2,2,,,,,,,,,,,,,,,,,,,,,0,0
