index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,16 Players,,,,,990,1.0,1.0,0.0,0.0,8.0,3.0,3.0,0.0,525.0,16.0,7.0,8.0,1.2,1.2,1.1,16.0,2.0,347.0,422.0,82.2,16.0,404.0,21.0,39.0,23.0,,,,,,,,,,,,,,,,,,,,,1,0
1,Dante,4.0,br BRA,CB,39-297,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,42.0,48.0,87.5,1.0,42.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Evann Guessand,29.0,ci CIV,RW,22-041,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,66.7,2.0,10.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
3,Gaëtan Laborde,24.0,fr FRA,RW,29-100,57,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,21.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,9.0,16.0,56.3,1.0,18.0,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,1,0
4,Hicham Boudaoui,28.0,dz ALG,FW,23-322,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,10.0,80.0,1.0,9.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
5,Jean-Clair Todibo,6.0,fr FRA,CB,23-224,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,53.0,86.8,0.0,47.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
6,Jeremie Boga,7.0,ci CIV,LW,26-220,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,15.0,86.7,0.0,19.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Jordan Lotomba,23.0,ch SUI,RB,24-316,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,84.2,2.0,18.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
8,Khéphren Thuram,19.0,fr FRA,LM,22-138,56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,4.0,1.0,1.0,0.0,0.0,0.6,4.0,1.0,15.0,19.0,78.9,2.0,20.0,3.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Marcin Bułka,90.0,pl POL,GK,23-311,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,56.0,89.3,0.0,50.0,0.0,0.0,0.0,5.0,1.0,4.0,80.0,2.1,7.0,10.0,70.0,52.0,10.0,15.4,27.6,4.0,50.0,40.0,14.0,1.0,7.1,0.0,8.8,1,0
10,Melvin Bard,26.0,fr FRA,LB,22-278,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,64.0,78.1,0.0,52.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
11,Morgan Sanson,11.0,fr FRA,RM,28-358,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.0,2.0,0.0,0.1,0.1,0.0,2.0,0.0,22.0,26.0,84.6,3.0,31.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,1,0
12,Pablo Rosario,8.0,nl NED,LM,26-216,34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,73.3,1.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
13,Sofiane Diop,10.0,fr FRA,LW,23-063,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,76.9,0.0,15.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
14,Terem Moffi,9.0,ng NGA,FW,24-078,80,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.5,0.5,0.4,2.0,1.0,11.0,15.0,73.3,2.0,19.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
15,Youcef Atal,20.0,dz ALG,RB,27-086,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,85.7,0.0,13.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
