index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,16 Players,,,,,990.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,575.0,6.0,2.0,19.0,0.9,0.1,0.1,8.0,2.0,413.0,476.0,86.8,30.0,293.0,12.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,,1,0
1,Abdou Harroui,21.0,nl NED,LM,25-218,85.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0,1.0,0.8,0.0,0.0,2.0,0.0,35.0,38.0,92.1,2.0,22.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Anthony Oyono,22.0,ga GAB,RB,22-129,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,41.0,87.8,5.0,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
3,Enzo Barrenechea,45.0,ar ARG,LM,22-089,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,100.0,1.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
4,Francesco Gelli,14.0,it ITA,RM,26-308,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,50.0,58.0,86.2,4.0,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
5,Gennaro Borrelli,9.0,it ITA,FW,23-162,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
6,Giorgi Kvernadze,17.0,ge GEO,LW,20-193,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,1.0,10.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Giuseppe Caso,10.0,it ITA,LW,24-253,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,14.0,92.9,5.0,15.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,1,0
8,Ilario Monterisi,30.0,it ITA,CB,21-243,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,85.0,95.0,89.5,3.0,65.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Jaime Báez,7.0,uy URU,RW,28-116,74.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,3.0,0.1,0.1,0.0,1.0,1.0,16.0,21.0,76.2,4.0,14.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
