index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,15 Players,,,,,902,1.0,0.0,1.0,1.0,3.0,1.0,6.0,1.0,301.0,7.0,12.0,12.0,1.5,0.7,0.4,8.0,2.0,130.0,201.0,64.7,14.0,144.0,5.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,1,0
1,Carlos Soler,10.0,es ESP,"CM,RM",24-223,85,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,26.0,0.0,1.0,0.0,1.2,0.4,0.0,1.0,0.0,16.0,19.0,84.2,2.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Daniel Wass,18.0,dk DEN,CM,32-074,68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,61.1,3.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
3,Denis Cheryshev,17.0,ru RUS,LM,30-230,76,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,0.0,4.0,0.0,0.2,0.2,0.0,3.0,2.0,12.0,15.0,80.0,0.0,12.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
4,Gabriel Paulista,5.0,br BRA,CB,30-260,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
5,Giorgi Mamardashvili,28.0,ge GEO,GK,20-318,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,65.2,0.0,6.0,0.0,0.0,0.0,4.0,0.0,4.0,100.0,0.8,11.0,19.0,57.9,10.0,1.0,80.0,51.1,13.0,84.6,56.4,26.0,0.0,0.0,0.0,12.0,1,0
6,Gonçalo Guedes,7.0,pt POR,"RM,FW",24-257,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,25.0,72.0,4.0,31.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Hugo Guillamón,6.0,es ESP,CM,21-194,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
8,Jason,23.0,es ESP,RM,27-038,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
9,José Luis Gayà,14.0,es ESP,LB,26-080,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,55.0,0.0,13.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
